"AN","AR","AS","CB","CE","CL","CM","CN","CT","EX","GA","IB","MC","MD","ML","NC","PV","RI","VC"
4,44,0,2,0,5,12,1,51,15,8,4,6,8,0,20,22,8,4
4,49,0,2,0,5,12,1,55,15,8,4,5,8,0,22,23,8,4
5,59,0,2,1,5,13,1,61,15,8,3,5,8,2,23,26,9,5
5,77,0,2,1,5,13,1,70,15,8,4,5,9,2,30,28,9,5
6,94,0,2,1,6,13,1,77,17,7,5,6,9,3,38,31,10,6
7,115,0,2,1,6,14,2,89,17,7,5,8,12,3,46,38,13,7
8,134,0,3,1,7,14,2,96,17,6,6,9,12,3,55,49,14,9
9,156,0,6,1,7,13,4,99,18,6,6,10,12,3,59,54,14,10
10,166,1,6,1,8,13,5,106,18,5,6,11,12,3,71,56,15,11
10,187,1,6,1,8,13,5,117,19,5,6,12,14,3,90,60,23,13
10,215,1,7,1,9,14,5,125,17,4,6,16,16,3,96,66,27,14
11,234,1,8,1,10,14,5,131,13,5,8,21,18,3,106,71,22,16
12,259,1,9,1,11,15,6,143,12,6,10,24,25,3,110,76,26,19
13,279,2,9,1,11,17,6,147,11,6,12,28,27,3,121,83,25,22
13,310,2,10,1,11,17,6,146,10,6,15,31,28,3,133,85,24,23
13,326,2,11,0,12,16,6,148,10,6,16,33,30,1,137,89,24,25
14,339,3,11,1,14,16,6,153,11,7,18,36,36,1,135,93,25,27
15,347,5,12,2,15,18,6,159,10,7,20,41,41,0,136,98,25,30
16,363,7,14,2,18,19,6,160,11,8,24,44,48,3,135,101,24,34
18,380,8,16,2,25,20,6,169,15,9,30,47,59,8,133,99,26,36
19,452,9,18,2,27,23,5,171,16,10,35,50,63,11,141,103,26,39
20,481,10,21,2,27,24,6,164,16,11,39,52,65,11,140,105,24,41
21,485,10,27,2,29,25,6,159,15,11,46,53,68,12,129,109,18,43
23,500,11,33,2,36,26,7,159,16,12,58,54,82,17,129,113,15,47
26,505,14,35,2,44,29,8,158,20,13,65,54,94,22,127,122,17,52
28,524,17,39,2,49,32,10,157,22,14,77,55,105,24,134,136,17,55
31,548,19,43,3,61,36,11,166,26,17,93,57,127,31,137,146,22,59
34,558,21,48,4,68,41,13,167,27,20,104,60,134,31,136,159,24,63
36,556,22,51,4,76,44,15,161,27,22,110,60,135,37,150,169,28,64
38,557,22,53,4,81,47,19,157,26,25,128,59,139,51,150,176,36,67
42,554,23,63,3,87,52,22,154,29,28,142,61,164,59,165,185,46,69
46,547,24,68,4,95,58,26,154,32,32,158,65,184,57,170,202,57,73
51,551,24,76,7,101,67,31,152,35,36,180,71,205,60,179,215,72,78
57,501,26,85,11,114,76,36,161,38,40,202,75,246,61,181,231,97,84
62,493,28,91,15,123,83,43,164,38,45,213,81,255,70,194,253,116,89
64,494,29,93,21,129,86,45,159,41,48,220,84,256,75,194,262,125,89
68,476,29,90,31,131,92,49,157,43,51,237,84,257,70,191,265,143,89
72,482,29,96,35,136,99,55,160,47,55,257,86,291,66,191,274,161,92
77,457,28,99,43,148,109,61,163,54,60,275,89,320,82,193,282,175,96
81,437,30,107,49,159,122,67,164,55,66,286,94,340,81,193,297,192,101
87,409,31,117,51,166,137,79,176,62,72,299,108,397,86,204,309,207,110
92,420,31,125,61,165,150,88,178,72,78,310,123,409,89,200,323,223,119
97,402,32,129,63,169,154,89,171,77,82,307,132,409,105,208,331,237,118
99,390,35,126,74,176,159,96,172,80,84,312,134,398,112,198,330,244,121
103,380,37,133,87,188,171,106,175,83,92,317,147,428,125,204,333,260,123
108,363,38,137,90,192,181,116,180,85,96,318,155,446,127,225,344,272,127
113,331,38,140,90,202,196,124,181,87,101,312,168,451,133,236,356,271,131
119,319,41,151,103,213,213,129,191,98,108,322,183,507,140,237,368,283,140
125,310,42,163,102,227,229,141,193,102,114,331,195,516,156,251,381,322,151
128,295,43,171,101,231,234,150,185,109,120,312,208,512,167,264,387,335,151
131,279,43,172,114,228,240,154,183,111,120,303,218,484,180,274,383,328,150
134,268,44,184,116,224,251,157,184,112,122,293,231,500,188,277,383,339,151
139,260,46,188,114,220,265,164,182,119,122,284,249,513,203,281,379,336,155
143,265,48,198,116,230,276,167,179,128,123,277,256,505,224,282,385,347,153
152,246,52,205,121,245,297,173,192,133,124,273,267,566,244,294,392,357,154
156,262,55,219,128,259,316,181,193,139,126,267,282,581,229,321,399,361,160
158,267,56,221,130,267,319,179,183,144,127,253,291,577,230,324,405,367,157
157,259,53,220,117,259,323,174,178,145,123,242,288,546,227,346,395,368,155
157,259,55,224,135,271,330,168,175,149,124,226,295,573,256,339,392,352,155
160,272,54,237,136,269,336,166,173,159,123,220,306,599,293,366,386,355,155
162,277,54,242,132,286,355,166,174,169,120,208,311,603,313,389,374,341,151
169,295,59,243,149,302,372,162,174,183,118,196,325,687,322,412,376,326,152
172,308,63,252,157,315,392,160,176,190,115,192,337,706,338,435,381,336,155
170,319,67,260,144,322,396,159,167,196,119,175,350,707,343,456,373,361,153
168,319,69,254,142,327,396,152,163,205,117,165,364,684,335,482,360,355,150
167,324,69,251,146,345,399,145,168,215,113,165,368,723,319,510,354,358,145
172,323,72,247,143,354,410,135,170,222,112,169,372,755,301,519,349,383,144
171,337,75,236,142,368,416,125,167,232,114,172,387,762,276,534,337,392,141
178,338,79,238,144,381,435,121,179,253,113,176,400,853,291,542,337,412,141
183,353,87,238,142,390,459,122,181,261,114,179,418,864,306,555,336,425,143
182,357,91,236,155,395,459,119,174,269,112,171,419,854,326,571,337,437,140
181,358,91,226,144,388,453,116,174,274,111,166,414,810,318,595,321,435,134
181,351,97,208,162,395,455,111,176,276,112,165,412,816,325,608,312,433,131
182,341,102,193,157,395,454,107,175,272,110,166,414,819,321,615,310,451,127
181,335,103,185,156,403,456,107,179,280,111,166,428,790,318,620,296,458,122
187,340,109,173,161,417,461,101,188,282,112,174,427,844,328,632,292,452,123
193,332,113,164,179,426,475,100,190,281,110,177,428,843,332,645,301,436,124
192,346,114,155,177,420,467,102,182,270,108,170,417,819,358,637,304,440,120
188,341,114,153,194,401,458,98,178,261,107,155,401,752,373,641,296,445,115
185,340,113,137,205,399,440,98,178,254,105,145,396,733,420,647,289,413,111
186,328,114,136,220,401,432,98,182,244,100,136,379,704,452,639,285,409,111
186,322,112,120,225,399,415,98,183,226,99,129,367,637,458,643,277,389,109
193,323,113,121,236,404,410,94,199,224,99,128,359,671,463,651,275,370,111
199,327,117,115,239,405,413,96,204,221,101,132,370,669,450,639,273,360,113
200,327,119,116,233,401,405,93,195,213,102,128,374,643,447,630,271,366,110
199,328,119,111,227,394,398,89,199,208,97,121,367,595,424,608,266,363,109
207,341,121,107,245,388,384,88,209,210,98,116,370,571,433,594,261,365,111
213,342,124,102,267,387,376,82,225,199,99,114,356,547,452,606,265,359,113
225,346,123,98,285,396,375,83,241,200,108,111,356,506,482,623,268,352,116
241,368,135,100,297,412,384,81,271,209,114,112,353,534,517,640,274,372,118
255,369,152,108,321,436,393,81,281,217,120,117,352,531,539,666,286,369,122
258,381,161,101,314,440,381,83,280,220,126,120,361,511,571,703,290,368,123
256,383,168,103,321,430,371,78,274,217,130,114,357,452,545,719,294,374,120
260,384,176,108,326,425,366,73,293,219,132,114,356,438,539,746,295,394,122
276,401,187,111,332,433,373,69,321,233,133,120,375,435,552,768,307,412,133
296,417,192,115,337,455,379,70,348,244,139,118,386,416,633,816,327,442,141
320,444,204,127,366,491,401,69,392,257,144,122,395,447,714,858,353,473,155
338,465,222,143,398,525,406,70,410,276,153,126,418,449,748,878,378,495,169
339,481,239,144,394,530,399,72,408,283,162,126,416,423,810,918,394,503,168
347,505,248,153,411,541,405,72,432,284,167,130,413,409,847,970,405,511,171
368,539,254,173,399,559,419,73,480,304,175,137,431,406,866,972,423,533,185
393,585,269,205,417,585,429,72,526,316,174,142,451,402,898,997,450,584,202
417,631,278,213,464,627,436,72,569,333,180,153,479,389,938,1000,480,604,223
450,700,292,232,473,679,469,70,629,362,196,162,524,419,1032,1012,511,647,253
475,752,306,256,529,711,491,69,649,392,207,167,550,419,1101,1039,542,662,272
482,784,316,277,540,727,509,69,663,414,221,170,568,417,1145,1060,562,671,281
503,839,322,287,551,741,523,70,694,443,232,181,583,409,1212,1091,590,660,296
521,886,337,307,597,779,541,70,723,455,251,188,601,403,1268,1099,616,673,311
539,924,358,326,657,803,563,69,744,476,261,202,622,397,1260,1103,638,699,331
559,967,381,340,708,843,568,68,754,500,273,209,644,384,1266,1117,661,697,348
588,1019,394,342,782,880,599,67,795,523,284,220,665,413,1357,1143,694,732,369
610,1062,397,367,810,923,614,69,809,539,299,227,695,414,1382,1127,717,753,392
604,1058,396,376,808,916,602,68,778,553,307,226,701,384,1390,1117,730,739,393
580,1038,402,386,863,895,599,64,769,548,306,225,696,350,1389,1119,743,715,399
572,1016,404,390,901,872,600,64,757,551,314,233,720,346,1376,1076,759,704,409
574,1004,415,398,921,870,605,64,735,562,322,233,727,349,1333,1067,766,736,425
575,979,435,419,972,865,596,68,715,572,322,238,728,341,1241,1043,778,746,435
597,974,459,428,1005,903,612,71,734,574,324,234,748,368,1183,981,794,780,453
615,973,464,430,1017,933,608,77,728,567,321,253,765,369,1145,941,805,783,473
596,925,486,448,1006,931,583,78,670,547,315,244,750,341,1067,877,808,770,467
587,882,481,457,1005,896,564,76,639,539,305,239,741,318,1011,830,804,750,460
580,857,492,466,995,891,549,75,614,529,298,238,742,314,960,780,806,728,458
573,816,509,480,953,861,540,76,589,522,294,233,741,309,918,719,802,727,466
