,AN,AR,AS,CB,CE,CL,CM,CN,CT,EX,GA,IB,MC,MD,ML,NC,PV,RI,VC
16,-1.0,9.0,-1.0,1.0,2.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
17,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-2.0,18.0
18,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-2.0,18.0
19,-1.0,9.0,-1.0,1.0,3.0,1.0,6.0,2.0,13.0,3.0,3.0,5.0,4.0,5.0,-2.0,5.0,10.0,-2.0,18.0
20,-1.0,10.0,-1.0,1.0,3.0,1.0,7.0,2.0,14.0,3.0,3.0,5.0,4.0,6.0,-3.0,5.0,11.0,-1.0,18.0
21,-1.0,11.0,-2.0,2.0,2.0,2.0,7.0,2.0,15.0,3.0,3.0,5.0,5.0,7.0,-3.0,6.0,11.0,0.0,18.0
22,-1.0,12.0,-2.0,3.0,2.0,4.0,8.0,2.0,17.0,3.0,4.0,6.0,5.0,9.0,-4.0,8.0,12.0,2.0,19.0
23,-1.0,14.0,-2.0,4.0,2.0,5.0,9.0,3.0,19.0,4.0,4.0,6.0,5.0,11.0,-5.0,10.0,14.0,4.0,19.0
24,-1.0,17.0,-2.0,5.0,2.0,7.0,11.0,4.0,22.0,4.0,5.0,7.0,6.0,14.0,-7.0,13.0,16.0,8.0,20.0
25,0.0,20.0,-2.0,6.0,2.0,11.0,14.0,5.0,26.0,5.0,6.0,9.0,7.0,19.0,-8.0,17.0,18.0,12.0,20.0
26,1.0,24.0,-2.0,8.0,2.0,15.0,17.0,6.0,31.0,5.0,8.0,10.0,9.0,25.0,-10.0,22.0,22.0,17.0,22.0
27,3.0,29.0,-2.0,11.0,2.0,21.0,21.0,7.0,38.0,6.0,10.0,12.0,11.0,33.0,-12.0,28.0,27.0,24.0,23.0
28,5.0,35.0,-2.0,15.0,2.0,28.0,27.0,9.0,47.0,8.0,13.0,15.0,13.0,43.0,-15.0,36.0,33.0,33.0,25.0
29,7.0,42.0,-2.0,19.0,3.0,36.0,34.0,12.0,56.0,10.0,16.0,18.0,16.0,55.0,-17.0,44.0,40.0,43.0,28.0
30,9.0,49.0,-1.0,23.0,4.0,46.0,42.0,14.0,66.0,13.0,20.0,21.0,18.0,67.0,-20.0,53.0,48.0,53.0,31.0
31,13.0,57.0,-1.0,28.0,5.0,57.0,51.0,17.0,79.0,16.0,24.0,25.0,22.0,82.0,-22.0,64.0,57.0,67.0,35.0
32,17.0,67.0,0.0,35.0,6.0,72.0,63.0,21.0,94.0,20.0,30.0,29.0,26.0,102.0,-25.0,79.0,70.0,84.0,40.0
33,22.0,78.0,1.0,43.0,9.0,90.0,78.0,25.0,113.0,26.0,37.0,35.0,30.0,125.0,-28.0,95.0,85.0,104.0,46.0
34,28.0,90.0,4.0,53.0,13.0,111.0,96.0,31.0,133.0,34.0,45.0,40.0,35.0,153.0,-30.0,114.0,103.0,130.0,54.0
35,35.0,102.0,8.0,65.0,18.0,136.0,117.0,37.0,156.0,44.0,55.0,47.0,39.0,183.0,-31.0,135.0,123.0,160.0,63.0
36,42.0,114.0,13.0,78.0,24.0,162.0,142.0,43.0,178.0,57.0,66.0,53.0,43.0,215.0,-30.0,157.0,143.0,194.0,73.0
37,49.0,122.0,18.0,90.0,30.0,186.0,166.0,48.0,197.0,70.0,77.0,59.0,45.0,244.0,-26.0,177.0,162.0,229.0,83.0
38,54.0,130.0,26.0,103.0,36.0,212.0,192.0,53.0,215.0,85.0,89.0,64.0,46.0,273.0,-20.0,197.0,181.0,268.0,93.0
39,60.0,138.0,35.0,118.0,42.0,239.0,222.0,57.0,234.0,101.0,102.0,70.0,47.0,303.0,-11.0,220.0,200.0,313.0,103.0
40,65.0,146.0,45.0,133.0,48.0,266.0,256.0,62.0,252.0,118.0,116.0,76.0,47.0,333.0,0.0,246.0,220.0,365.0,114.0
41,70.0,154.0,56.0,146.0,54.0,290.0,291.0,65.0,267.0,134.0,130.0,81.0,49.0,360.0,13.0,270.0,239.0,417.0,123.0
42,74.0,159.0,65.0,158.0,59.0,309.0,323.0,66.0,277.0,147.0,142.0,86.0,50.0,383.0,27.0,292.0,256.0,465.0,128.0
43,77.0,162.0,73.0,165.0,63.0,320.0,347.0,65.0,281.0,153.0,152.0,89.0,50.0,398.0,39.0,307.0,270.0,503.0,129.0
44,79.0,163.0,78.0,169.0,67.0,324.0,365.0,64.0,280.0,156.0,160.0,90.0,50.0,405.0,48.0,315.0,279.0,530.0,128.0
45,80.0,163.0,81.0,171.0,71.0,325.0,377.0,61.0,277.0,156.0,166.0,91.0,50.0,406.0,55.0,320.0,285.0,550.0,126.0
46,80.0,164.0,84.0,171.0,73.0,324.0,385.0,58.0,273.0,155.0,169.0,90.0,51.0,403.0,61.0,325.0,287.0,565.0,123.0
47,78.0,165.0,86.0,169.0,75.0,321.0,388.0,54.0,268.0,151.0,170.0,88.0,52.0,396.0,66.0,328.0,286.0,573.0,118.0
48,76.0,167.0,87.0,166.0,75.0,315.0,387.0,50.0,263.0,145.0,168.0,86.0,53.0,386.0,68.0,330.0,283.0,575.0,114.0
49,74.0,169.0,87.0,163.0,75.0,310.0,385.0,47.0,258.0,139.0,167.0,83.0,54.0,375.0,69.0,331.0,279.0,576.0,110.0
